ID;UF;LON;LAT;ANNUAL
310;RS;-525.490;-316.005;4267
311;RS;-524.490;-316.005;4254
312;RS;-523.490;-316.005;4274
313;RS;-522.490;-316.005;4306
314;RS;-521.490;-316.005;4356
315;RS;-520.490;-316.005;4414
316;RS;-519.490;-316.005;4465
317;RS;-518.490;-316.005;4519
318;RS;-517.490;-316.005;4539
319;RS;-516.490;-316.005;4540
320;RS;-515.490;-316.005;4506
321;RS;-514.490;-316.005;4465
322;RS;-513.490;-316.005;4460
323;RS;-512.490;-316.005;4500
324;RS;-546.490;-315.005;4594
325;RS;-545.490;-315.005;4582
326;RS;-544.490;-315.005;4579
327;RS;-543.490;-315.005;4573
328;RS;-542.490;-315.005;4557
329;RS;-541.490;-315.005;4537
330;RS;-540.490;-315.005;4528
331;RS;-539.490;-315.005;4515
332;RS;-538.490;-315.005;4494
333;RS;-537.490;-315.005;4485
334;RS;-536.490;-315.005;4480
335;RS;-535.490;-315.005;4471
336;RS;-534.490;-315.005;4456
337;RS;-533.490;-315.005;4424
338;RS;-532.490;-315.005;4398
339;RS;-531.490;-315.005;4381
340;RS;-530.490;-315.005;4356
341;RS;-529.490;-315.005;4347
342;RS;-528.490;-315.005;4341
343;RS;-527.490;-315.005;4328
344;RS;-526.490;-315.005;4287
345;RS;-525.490;-315.005;4263
346;RS;-524.490;-315.005;4254
347;RS;-523.490;-315.005;4255
348;RS;-522.490;-315.005;4282
349;RS;-521.490;-315.005;4330
350;RS;-520.490;-315.005;4388
351;RS;-519.490;-315.005;4443
352;RS;-518.490;-315.005;4505
353;RS;-517.490;-315.005;4532
354;RS;-516.490;-315.005;4543
355;RS;-515.490;-315.005;4539
356;RS;-514.490;-315.005;4508
357;RS;-513.490;-315.005;4508
358;RS;-512.490;-315.005;4503
359;RS;-511.490;-315.005;4513
360;RS;-549.490;-314.005;4617
361;RS;-548.490;-314.005;4610
362;RS;-547.490;-314.005;4603
363;RS;-546.490;-314.005;4606
364;RS;-545.490;-314.005;4598
365;RS;-544.490;-314.005;4587
366;RS;-543.490;-314.005;4575
367;RS;-542.490;-314.005;4558
368;RS;-541.490;-314.005;4531
369;RS;-540.490;-314.005;4514
370;RS;-539.490;-314.005;4516
371;RS;-538.490;-314.005;4506
372;RS;-537.490;-314.005;4498
373;RS;-536.490;-314.005;4487
374;RS;-535.490;-314.005;4470
375;RS;-534.490;-314.005;4443
376;RS;-533.490;-314.005;4424
377;RS;-532.490;-314.005;4413
378;RS;-531.490;-314.005;4396
379;RS;-530.490;-314.005;4385
380;RS;-529.490;-314.005;4362
381;RS;-528.490;-314.005;4362
382;RS;-527.490;-314.005;4351
383;RS;-526.490;-314.005;4317
384;RS;-525.490;-314.005;4288
385;RS;-524.490;-314.005;4268
386;RS;-523.490;-314.005;4261
387;RS;-522.490;-314.005;4265
388;RS;-521.490;-314.005;4291
389;RS;-520.490;-314.005;4349
390;RS;-519.490;-314.005;4398
391;RS;-518.490;-314.005;4459
392;RS;-517.490;-314.005;4498
393;RS;-516.490;-314.005;4521
394;RS;-515.490;-314.005;4540
395;RS;-514.490;-314.005;4548
396;RS;-513.490;-314.005;4552
397;RS;-512.490;-314.005;4524
398;RS;-511.490;-314.005;4474
399;RS;-510.490;-314.005;4472
400;RS;-552.490;-313.005;4586
401;RS;-551.490;-313.005;4620
402;RS;-550.490;-313.005;4629
403;RS;-549.490;-313.005;4626
404;RS;-548.490;-313.005;4615
405;RS;-547.490;-313.005;4602
406;RS;-546.490;-313.005;4616
407;RS;-545.490;-313.005;4607
408;RS;-544.490;-313.005;4590
409;RS;-543.490;-313.005;4564
410;RS;-542.490;-313.005;4557
411;RS;-541.490;-313.005;4535
412;RS;-540.490;-313.005;4522
413;RS;-539.490;-313.005;4520
414;RS;-538.490;-313.005;4518
415;RS;-537.490;-313.005;4515
416;RS;-536.490;-313.005;4486
417;RS;-535.490;-313.005;4471
418;RS;-534.490;-313.005;4453
419;RS;-533.490;-313.005;4434
420;RS;-532.490;-313.005;4409
421;RS;-531.490;-313.005;4402
422;RS;-530.490;-313.005;4401
423;RS;-529.490;-313.005;4392
424;RS;-528.490;-313.005;4391
425;RS;-527.490;-313.005;4382
426;RS;-526.490;-313.005;4359
427;RS;-525.490;-313.005;4319
428;RS;-524.490;-313.005;4286
429;RS;-523.490;-313.005;4264
430;RS;-522.490;-313.005;4263
431;RS;-521.490;-313.005;4270
432;RS;-520.490;-313.005;4303
433;RS;-519.490;-313.005;4343
434;RS;-518.490;-313.005;4396
435;RS;-517.490;-313.005;4441
436;RS;-516.490;-313.005;4479
437;RS;-515.490;-313.005;4532
438;RS;-514.490;-313.005;4545
439;RS;-513.490;-313.005;4546
440;RS;-512.490;-313.005;4522
441;RS;-511.490;-313.005;4464
442;RS;-510.490;-313.005;4451
443;RS;-509.490;-313.005;4435
445;RS;-552.490;-312.005;4602
446;RS;-551.490;-312.005;4623
447;RS;-550.490;-312.005;4631
448;RS;-549.490;-312.005;4632
449;RS;-548.490;-312.005;4623
450;RS;-547.490;-312.005;4608
451;RS;-546.490;-312.005;4610
452;RS;-545.490;-312.005;4613
453;RS;-544.490;-312.005;4600
454;RS;-543.490;-312.005;4587
455;RS;-542.490;-312.005;4576
456;RS;-541.490;-312.005;4557
457;RS;-540.490;-312.005;4547
458;RS;-539.490;-312.005;4530
